instante,fecha,temporada,a–o,mes,hora,dia_festivo,dia_semana,dia_laboral,categoria_clima,temperatura,humedad,velocidad,casual,registrado,conteo,mala_entrega
1,1/1/11,1,0,1,0,0,6,0,1,0.24,0.81,0,3,13,16,4
2,1/1/11,1,0,1,1,0,6,0,1,0.22,0.8,0,8,32,40,3
3,1/1/11,1,0,1,2,0,6,0,1,0.22,0.8,0,5,27,32,7
4,1/1/11,1,0,1,3,0,6,0,1,0.24,0.75,0,3,10,13,4
5,1/1/11,1,0,1,4,0,6,0,1,0.24,0.75,0,0,1,1,0
6,1/1/11,1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,0
7,1/1/11,1,0,1,6,0,6,0,1,0.22,0.8,0,2,0,2,0
8,1/1/11,1,0,1,7,0,6,0,1,0.2,0.86,0,1,2,3,0
9,1/1/11,1,0,1,8,0,6,0,1,0.24,0.75,0,1,7,8,4
10,1/1/11,1,0,1,9,0,6,0,1,0.32,0.76,0,8,6,14,0
11,1/1/11,1,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,2
12,1/1/11,1,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,0
13,1/1/11,1,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,6
14,1/1/11,1,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,5
15,1/1/11,1,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,0
16,1/1/11,1,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,70,110,1
17,1/1/11,1,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,52,93,0
18,1/1/11,1,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,52,67,4
19,1/1/11,1,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,26,35,2
20,1/1/11,1,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,31,37,3
21,1/1/11,1,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,25,36,0
22,1/1/11,1,0,1,21,0,6,0,2,0.4,0.87,0.194,3,31,34,0
23,1/1/11,1,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,17,28,4
24,1/1/11,1,0,1,30,0,6,0,2,0.46,0.88,0.2985,15,24,39,7
25,2/1/11,1,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,13,17,2
26,2/1/11,1,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,16,17,6
27,2/1/11,1,0,1,2,0,0,0,2,0.42,1,0.2836,1,8,9,0
28,2/1/11,1,0,1,3,0,0,0,2,0.46,0.94,0.194,2,4,6,5
29,2/1/11,1,0,1,4,0,0,0,2,0.46,0.94,0.194,2,1,3,0
30,2/1/11,1,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2,0
31,2/1/11,1,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,1,0
32,2/1/11,1,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,8,5
33,2/1/11,1,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,19,20,0
34,2/1/11,1,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,46,53,0
35,2/1/11,1,0,1,11,0,0,0,2,0.36,0.71,0.2537,16,54,70,5
36,2/1/11,1,0,1,12,0,0,0,2,0.36,0.66,0.2985,20,73,93,2
37,2/1/11,1,0,1,13,0,0,0,2,0.36,0.66,0.1343,11,64,75,2
38,2/1/11,1,0,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,6
39,2/1/11,1,0,1,15,0,0,0,3,0.34,0.81,0.1642,19,55,74,0
40,2/1/11,1,0,1,16,0,0,0,3,0.34,0.71,0.1642,9,67,76,3
41,2/1/11,1,0,1,17,0,0,0,1,0.34,0.57,0.194,7,58,65,0
42,2/1/11,1,0,1,18,0,0,0,2,0.36,0.46,0.3284,10,43,53,4
43,2/1/11,1,0,1,19,0,0,0,1,0.32,0.42,0.4478,1,29,30,5
44,2/1/11,1,0,1,20,0,0,0,1,0.3,0.39,0.3582,5,17,22,0
45,2/1/11,1,0,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,2
46,2/1/11,1,0,1,22,0,0,0,1,0.24,0.44,0.2985,0,9,9,2
47,2/1/11,1,0,1,23,0,0,0,1,0.22,0.47,0.1642,0,8,8,0
48,3/1/11,1,0,1,0,0,1,1,1,0.22,0.44,0.3582,0,5,5,0
49,3/1/11,1,0,1,1,0,1,1,1,0.2,0.44,0.4179,0,2,2,0
50,3/1/11,1,0,1,4,0,1,1,1,0.16,0.47,0.3881,0,1,1,0
51,3/1/11,1,0,1,5,0,1,1,1,0.16,0.47,0.2836,0,3,3,0
52,3/1/11,1,0,1,6,0,1,1,1,0.14,0.5,0.3881,0,30,30,4
53,3/1/11,1,0,1,7,0,1,1,1,0.14,0.5,0.194,1,63,64,6
54,3/1/11,1,0,1,8,0,1,1,1,0.14,0.5,0.2836,1,153,154,1
55,3/1/11,1,0,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,5
56,3/1/11,1,0,1,10,0,1,1,1,0.18,0.43,0.2537,11,33,44,4
57,3/1/11,1,0,1,11,0,1,1,1,0.2,0.4,0.3284,10,41,51,0
58,3/1/11,1,0,1,12,0,1,1,1,0.22,0.35,0.2985,13,48,61,5
59,3/1/11,1,0,1,13,0,1,1,1,0.24,0.35,0.2836,8,53,61,3
60,3/1/11,1,0,1,14,0,1,1,1,0.26,0.3,0.2836,11,66,77,6
61,3/1/11,1,0,1,15,0,1,1,1,0.26,0.3,0.2537,14,58,72,2
62,3/1/11,1,0,1,16,0,1,1,1,0.26,0.3,0.2537,9,67,76,7
